sct_mae_hu,sct_rmse_hu,sct_psnr,sct_ssim,raw_cbct_mae_hu,raw_cbct_rmse_hu,raw_cbct_psnr,raw_cbct_ssim,sct_mae_air_lung_hu,raw_cbct_mae_air_lung_hu,sct_mae_soft_tissue_hu,raw_cbct_mae_soft_tissue_hu,sct_mae_bone_hu,raw_cbct_mae_bone_hu,sct_mae_body_hu,raw_cbct_mae_body_hu,sample_counter,dataset_index,patient_id,slice_index,mean_uncertainty_hu,std_uncertainty_hu,mean_error_hu,error_uncertainty_corr
82.14041,166.41032,23.875864,0.3884090253213916,96.98366,214.30031,21.679012,0.8761569752045689,153.61241,159.62227,45.41763,65.76884,119.03785,113.323235,82.14041,96.98366,15,864,2ABA082,27,43.702847,41.898804,82.14041,0.0718188477068641
74.82707,174.10112,23.483437,0.39275458633544214,169.72986,232.38713,20.975225,0.6007499998554892,103.05565,144.96436,63.642113,172.62762,151.32495,243.41121,74.82707,169.72986,16,65,2ABA006,71,30.49098,36.917618,74.82707,0.28756280487144203
72.2398,159.20412,24.260384,0.37619983081010455,177.85574,243.97414,20.552593,0.6010229057338994,86.001595,144.12772,66.37175,184.13911,104.76346,234.85982,72.2398,177.85574,17,61,2ABA006,67,54.417645,63.123238,72.2398,0.2233342098888967
91.270226,203.35957,22.134174,0.2835033794981727,355.62906,380.9262,16.68265,0.5845911363494068,395.2323,218.78099,54.008842,362.59766,197.74837,590.43,91.270226,355.62906,18,191,2ABA030,45,26.709486,44.526237,91.270226,0.27888353132256016
112.979744,199.08928,22.318512,0.3904154810020738,118.646,179.40622,23.222717,0.7738352902415575,97.98714,108.34957,110.945755,113.63544,223.2922,263.81595,112.979744,118.646,19,447,2ABA056,75,52.633446,61.38363,112.979744,0.34304186475003207
56.174706,103.14719,28.030321,0.37637428468133177,164.93968,202.61931,22.165852,0.6627843659101066,90.94987,142.4341,45.321293,156.48688,143.3214,355.5783,56.174706,164.93968,20,476,2ABA064,16,37.276787,52.080315,56.174706,0.1540060722017068
75.934166,154.4413,24.5242,0.3168812919890315,192.68048,230.78879,21.035173,0.6043605418178067,144.11882,119.60975,58.280098,189.95389,147.3314,411.26065,75.934166,192.68048,21,1034,2ABA101,45,29.458109,41.41906,75.934166,0.21442892027515864
109.30259,194.52202,22.520094,0.27432347775375,135.43558,257.18353,20.094604,0.856270676469275,152.49963,187.30208,83.76524,113.55879,164.56836,104.04856,109.30259,135.43558,22,1232,2ABA118,16,62.101234,61.272068,109.30259,0.24148186391566975
85.31122,177.53761,23.31366,0.3365829924863064,193.83698,271.9786,19.608772,0.6418359967208312,100.950005,140.37064,79.558975,209.2394,93.746346,239.52089,85.31122,193.83698,23,54,2ABA006,60,49.501144,57.72078,85.31122,0.2117547681326423
88.800224,180.55519,23.167269,0.2821212553911594,102.34033,190.91042,22.682877,0.8542738862121073,83.88432,110.263176,92.14837,104.01324,77.20363,67.666954,88.800224,102.34033,24,1149,2ABA114,9,62.62502,66.54566,88.800224,0.20979521587732922
139.58333,253.0135,20.236591,0.3488049604546732,179.22006,284.45618,19.21916,0.7508460022573336,220.44908,250.4877,88.86726,137.26045,230.05333,227.67795,139.58333,179.22006,25,407,2ABA056,35,55.48897,65.40062,139.58333,-0.006684203961740418
